	Kingdom	Phylum	Class	Order	Family	Genus
SIP1879	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
SIP1880	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP1881	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax
SIP1882	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Not_annotated
SIP1883	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
SIP1884	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	Not_annotated
SIP1885	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1886	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
SIP1887	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP1888	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1889	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1890	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
SIP1891	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	Not_annotated	Not_annotated
SIP1892	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Not_annotated	Not_annotated
SIP1893	Bacteria	Chloroflexi	SAR202_clade	Not_annotated	Not_annotated	Not_annotated
SIP1894	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
SIP1895	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1896	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Not_annotated	Not_annotated
SIP1897	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
SIP1898	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis
SIP1899	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1900	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
SIP1901	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
SIP1902	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Not_annotated	Not_annotated
SIP1903	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1904	Bacteria	PAUC34f	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1905	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1906	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Candidatus_Entotheonella
SIP1907	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	JL-ETNP-F27
SIP1908	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3
SIP1909	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
SIP1910	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
SIP1912	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	Not_annotated
SIP1913	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	Not_annotated	Not_annotated
SIP1914	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
SIP1915	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1916	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1917	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	SAR202_Clade1
SIP1918	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Not_annotated	Not_annotated
SIP1919	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4_lineage
SIP1920	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Not_annotated
SIP1921	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas
SIP1922	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP1923	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP1924	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
SIP1925	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea
SIP1926	Bacteria	Parcubacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1927	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
SIP1928	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP1929	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis
SIP1930	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	ORCA-3N101	Not_annotated
SIP1931	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Not_annotated
SIP1932	Bacteria	Chloroflexi	SAR202_clade	Not_annotated	Not_annotated	Not_annotated
SIP1933	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP1934	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP1935	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP1936	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
SIP1937	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP1938	Bacteria	PAUC34f	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1939	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1940	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP1941	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1942	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	Not_annotated
SIP1943	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	Not_annotated	Not_annotated
SIP1944	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
SIP1945	Bacteria	Cyanobacteria	Chloroplast	Not_annotated	Not_annotated	Not_annotated
SIP1946	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
SIP1947	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
SIP1948	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1949	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
SIP1950	Archaea	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1951	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP1952	Bacteria	Cyanobacteria	ML635J-21	Not_annotated	Not_annotated	Not_annotated
SIP1953	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_clade	Not_annotated
SIP1954	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	Not_annotated	Not_annotated
SIP1955	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP1956	Archaea	Woesearchaeota_(DHVEG-6)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1957	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP1958	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	Not_annotated
SIP1959	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	Not_annotated
SIP1960	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP1961	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP1962	Bacteria	Proteobacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1963	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
SIP1964	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP1965	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
SIP1966	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP1967	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP1968	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	Not_annotated
SIP1969	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1970	Bacteria	Chloroflexi	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1971	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Not_annotated	Not_annotated
SIP1972	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP1973	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP1974	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
SIP1975	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Not_annotated	Not_annotated
SIP1976	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	Not_annotated	Not_annotated
SIP1977	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
SIP1978	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP1979	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Not_annotated	Not_annotated	Not_annotated
SIP1980	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1981	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP1982	Bacteria	Acidobacteria	Subgroup_26	Not_annotated	Not_annotated	Not_annotated
SIP1983	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
SIP1984	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1985	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP1986	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1987	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1988	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Not_annotated	Not_annotated
SIP1989	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP1990	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1991	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP1992	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP1993	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP1994	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1995	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1996	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1997	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1998	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP1999	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	Not_annotated	Not_annotated
SIP2000	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2001	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Not_annotated
SIP2002	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_III	Not_annotated
SIP2003	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2004	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP2005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
SIP2006	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Not_annotated	Not_annotated
SIP2007	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Oceanococcus
SIP2008	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP2009	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
SIP2010	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
SIP2011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	Not_annotated
SIP2012	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3
SIP2013	Bacteria	Planctomycetes	OM190	Not_annotated	Not_annotated	Not_annotated
SIP2014	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis
SIP2015	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2016	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2017	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2018	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP2019	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SIP2020	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	Not_annotated	Not_annotated
SIP2021	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP2022	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	Not_annotated
SIP2023	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2024	Bacteria	Cyanobacteria	Chloroplast	Not_annotated	Not_annotated	Not_annotated
SIP2025	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Not_annotated	Not_annotated
SIP2026	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2027	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_annotated
SIP2028	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP2029	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
SIP2030	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
SIP2031	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP2032	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP2033	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP2034	Bacteria	SHA-109	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2035	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP2036	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
SIP2037	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
SIP2038	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
SIP2039	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP2040	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP2041	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	Not_annotated	Not_annotated
SIP2042	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP2043	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	Not_annotated	Not_annotated
SIP2044	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	Not_annotated	Not_annotated
SIP2045	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2046	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP2047	Bacteria	Parcubacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2048	Bacteria	Gracilibacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2049	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	Not_annotated
SIP2050	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP2051	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP2052	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2053	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2054	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
SIP2055	Bacteria	Verrucomicrobia	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2056	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Not_annotated
SIP2057	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
SIP2058	Bacteria	Planctomycetes	BD7-11	Not_annotated	Not_annotated	Not_annotated
SIP2059	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP2060	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis
SIP2061	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Not_annotated
SIP2062	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
SIP2063	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP2064	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus
SIP2065	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP2066	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
SIP2067	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
SIP2068	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas
SIP2069	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP2070	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	Not_annotated
SIP2071	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP2072	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
SIP2073	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Not_annotated
SIP2074	Bacteria	PAUC34f	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2075	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	Not_annotated
SIP2076	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP2077	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia
SIP2078	Bacteria	Proteobacteria	SPOTSOCT00m83	Not_annotated	Not_annotated	Not_annotated
SIP2079	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_II	Not_annotated
SIP2080	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2081	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP2082	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2083	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2084	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maritimimonas
SIP2085	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP2086	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta_2
SIP2087	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
SIP2088	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP2089	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	Not_annotated	Not_annotated
SIP2090	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP2091	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
SIP2092	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Not_annotated
SIP2093	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP2094	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fabibacter
SIP2095	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2096	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Not_annotated
SIP2097	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
SIP2098	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2099	Bacteria	Bacteroidetes	Cytophagia	Order_II	Rhodothermaceae	Not_annotated
SIP2100	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP2101	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2102	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP2103	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2104	Bacteria	Chloroflexi	JG30-KF-CM66	Not_annotated	Not_annotated	Not_annotated
SIP2105	Bacteria	Chloroflexi	SAR202_clade	Not_annotated	Not_annotated	Not_annotated
SIP2106	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
SIP2107	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
SIP2108	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2109	Bacteria	Proteobacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2110	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP2111	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Not_annotated
SIP2112	Bacteria	Cyanobacteria	Chloroplast	Not_annotated	Not_annotated	Not_annotated
SIP2113	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Halobacteriovorax
SIP2114	Eukaryota	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2115	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP2116	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP2117	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP2118	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP2119	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
SIP2120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP2121	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Salinimonas
SIP2122	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
SIP2123	Bacteria	Hydrogenedentes	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2124	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
SIP2125	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
SIP2126	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga
SIP2127	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP2128	Bacteria	Planctomycetes	Pla3_lineage	Not_annotated	Not_annotated	Not_annotated
SIP2129	Bacteria	Not_annotated	Not_annotated	Not_annotated	Not_annotated	Not_annotated
