	Kingdom	Phylum	Class	Order	Family	Genus
SIP89	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Ponticaulis
SIP90	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
SIP91	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
SIP92	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
SIP93	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
SIP94	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP95	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Not_annotated
SIP96	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
SIP97	Archaea	Thaumarchaeota	Marine_Group_I	Unknown_Order	Unknown_Family	Candidatus_Nitrosopelagicus
SIP98	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
SIP99	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Candidatus_Endoecteinascidia
SIP100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
SIP101	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
SIP102	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	JL-ETNP-F27
SIP103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Citreicella
SIP104	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	SAR202_Clade1
SIP105	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Not_annotated
SIP106	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_annotated
SIP107	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	Not_annotated
SIP108	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Not_annotated	Not_annotated
SIP109	Bacteria	Proteobacteria	Alphaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP110	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax
SIP111	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
SIP112	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
SIP113	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group
SIP114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter
SIP115	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_III	Not_annotated
SIP116	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP117	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
SIP118	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
SIP119	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
SIP120	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine_Group_III	Not_annotated
SIP121	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_annotated
SIP122	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
SIP123	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Solimonadaceae	Polycyclovorans
SIP124	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Psychrobium
SIP125	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP126	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella
SIP127	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
SIP128	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP129	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP130	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Not_annotated
SIP131	Bacteria	Proteobacteria	AEGEAN-245	Not_annotated	Not_annotated	Not_annotated
SIP132	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP133	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	Not_annotated
SIP134	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
SIP135	Bacteria	Proteobacteria	Gammaproteobacteria	Not_annotated	Not_annotated	Not_annotated
SIP136	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
SIP137	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus
SIP138	Archaea	Thaumarchaeota	Marine_Group_I	Not_annotated	Not_annotated	Not_annotated
SIP139	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
SIP140	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	Not_annotated
